study,ihbca_donor_id,cxg_donor_id
pal,B1_0023,Pal_MH0023_p23
pal,B1_0033,Pal_MH0033
pal,B1_0090,Pal_MH0090
pal,B1_0894,Pal_KCF0894
pal,N_0019,Pal_PM0019
pal,N_0021,Pal_MH0021
pal,N_0064,Pal_MH0064
pal,N_0092,Pal_PM0092
pal,N_0093,Pal_PM0095
pal,N_0123,Pal_MH0023_p123
pal,N_0169,Pal_MH0169
pal,N_0230.16,Pal_N1B
pal,N_0230.17,Pal_PM0230
pal,N_0233,Pal_PM0233
pal,N_0275,Pal_MH275
pal,N_0280,Pal_N280
pal,N_0288,Pal_MH288
pal,N_0342,Pal_PM0342
pal,N_0372,Pal_PM0372
pal,N_0408,Pal_NE
pal,N_1105,Pal_N1105
pal,N_1469,Pal_NF
