study,ihbca_donor_id,cxg_donor_id
reed,1035N,HBCA_Donor_1
reed,LS13-3045N,HBCA_Donor_10
reed,LS13-3088N,HBCA_Donor_11
reed,LS13-3353N,HBCA_Donor_12
reed,LS13-3464N,HBCA_Donor_13
reed,LS14-03137N,HBCA_Donor_14
reed,LS14-3078N,HBCA_Donor_15
reed,LS15-02541N,HBCA_Donor_16
reed,LS15-02672N,HBCA_Donor_17
reed,LS15-2510N,HBCA_Donor_18
reed,LS16-4630N,HBCA_Donor_19
reed,1989N,HBCA_Donor_2
reed,LS16-4721N,HBCA_Donor_20
reed,LS16-4722N,HBCA_Donor_21
reed,LS17-4800N,HBCA_Donor_22
reed,1438PM,HBCA_Donor_23
reed,1574PM,HBCA_Donor_24
reed,1732PM,HBCA_Donor_25
reed,1991PM,HBCA_Donor_26
reed,2230PM,HBCA_Donor_27
reed,2282PM,HBCA_Donor_28
reed,2987PM,HBCA_Donor_29
reed,2024N,HBCA_Donor_3
reed,3003PM,HBCA_Donor_30
reed,3092PM,HBCA_Donor_31
reed,3122PM,HBCA_Donor_32
reed,3239PM,HBCA_Donor_33
reed,1524PM,HBCA_Donor_34
reed,2204PM,HBCA_Donor_35
reed,2847PM,HBCA_Donor_36
reed,2975PM,HBCA_Donor_37
reed,3031PM,HBCA_Donor_38
reed,3076PM,HBCA_Donor_39
reed,2182N,HBCA_Donor_4
reed,3154PM,HBCA_Donor_40
reed,3199PM,HBCA_Donor_41
reed,LS12-230PM,HBCA_Donor_42
reed,LS14-2843PM,HBCA_Donor_43
reed,LS15-3533PM,HBCA_Donor_44
reed,1715PM,HBCA_Donor_45
reed,2101PM,HBCA_Donor_46
reed,1621PM,HBCA_Donor_47
reed,1923PM,HBCA_Donor_48
reed,3108PM,HBCA_Donor_49
reed,2252N,HBCA_Donor_5
reed,1016CP,HBCA_Donor_50
reed,1476CP,HBCA_Donor_51
reed,1570CP,HBCA_Donor_52
reed,2093CP,HBCA_Donor_53
reed,2973CP,HBCA_Donor_54
reed,3055CP,HBCA_Donor_55
reed,3002N,HBCA_Donor_6
reed,3046N,HBCA_Donor_7
reed,3150N,HBCA_Donor_8
reed,3234N,HBCA_Donor_9
