level15_annotation,cl_term,n_cells,total_label_cells,pct_of_label
B-cell,CL:0000972,4568,10411,43.88
B-cell,CL:0000788,4084,10411,39.23
B-cell,CL:0000970,1100,10411,10.57
B-cell,unknown,374,10411,3.59
B-cell,CL:0000917,41,10411,0.39
B-cell,CL:4033057,40,10411,0.38
B-cell,CL:4033054,35,10411,0.34
B-cell,CL:0000704,27,10411,0.26
B-cell,CL:0000895,25,10411,0.24
B-cell,CL:4033058,24,10411,0.23
B-cell,CL:0000786,17,10411,0.16
B-cell,CL:0002555,15,10411,0.14
B-cell,CL:0002543,14,10411,0.13
B-cell,CL:0000909,9,10411,0.09
B-cell,CL:0000492,8,10411,0.08
B-cell,CL:0000235,6,10411,0.06
B-cell,CL:0000451,6,10411,0.06
B-cell,CL:0002324,6,10411,0.06
B-cell,CL:1000413,4,10411,0.04
B-cell,CL:0002138,3,10411,0.03
B-cell,CL:0000913,2,10411,0.02
B-cell,CL:0002144,2,10411,0.02
B-cell,CL:0001065,1,10411,0.01
B-cell,CL:0000623,0,10411,0.0
B-cell,CL:0000814,0,10411,0.0
B-cell,CL:0002327,0,10411,0.0
Basal-myoepithelial,CL:0002324,238742,250795,95.19
Basal-myoepithelial,CL:4033057,2731,250795,1.09
Basal-myoepithelial,unknown,2508,250795,1.0
Basal-myoepithelial,CL:0000895,1562,250795,0.62
Basal-myoepithelial,CL:4033054,1131,250795,0.45
Basal-myoepithelial,CL:0002555,1092,250795,0.44
Basal-myoepithelial,CL:0000704,1014,250795,0.4
Basal-myoepithelial,CL:4033058,582,250795,0.23
Basal-myoepithelial,CL:0002543,365,250795,0.15
Basal-myoepithelial,CL:0000909,330,250795,0.13
Basal-myoepithelial,CL:0000492,131,250795,0.05
Basal-myoepithelial,CL:0002327,125,250795,0.05
Basal-myoepithelial,CL:0000972,114,250795,0.05
Basal-myoepithelial,CL:1000413,88,250795,0.04
Basal-myoepithelial,CL:0000917,67,250795,0.03
Basal-myoepithelial,CL:0002144,61,250795,0.02
Basal-myoepithelial,CL:0002138,59,250795,0.02
Basal-myoepithelial,CL:0000970,35,250795,0.01
Basal-myoepithelial,CL:0000913,22,250795,0.01
Basal-myoepithelial,CL:0000788,16,250795,0.01
Basal-myoepithelial,CL:0000235,14,250795,0.01
Basal-myoepithelial,CL:0000786,4,250795,0.0
Basal-myoepithelial,CL:0000451,1,250795,0.0
Basal-myoepithelial,CL:0001065,1,250795,0.0
Basal-myoepithelial,CL:0000623,0,250795,0.0
Basal-myoepithelial,CL:0000814,0,250795,0.0
CD4T,CL:0000895,19716,47930,41.13
CD4T,CL:0000492,16461,47930,34.34
CD4T,CL:0000917,5553,47930,11.59
CD4T,CL:0000909,2820,47930,5.88
CD4T,CL:0000913,846,47930,1.77
CD4T,unknown,677,47930,1.41
CD4T,CL:4033057,368,47930,0.77
CD4T,CL:0001065,249,47930,0.52
CD4T,CL:4033054,239,47930,0.5
CD4T,CL:0002555,170,47930,0.35
CD4T,CL:0000704,158,47930,0.33
CD4T,CL:4033058,136,47930,0.28
CD4T,CL:0000972,100,47930,0.21
CD4T,CL:0000814,97,47930,0.2
CD4T,CL:0000788,62,47930,0.13
CD4T,CL:0002144,51,47930,0.11
CD4T,CL:0002324,46,47930,0.1
CD4T,CL:0000623,40,47930,0.08
CD4T,CL:0000970,28,47930,0.06
CD4T,CL:1000413,27,47930,0.06
CD4T,CL:0000235,26,47930,0.05
CD4T,CL:0002543,24,47930,0.05
CD4T,CL:0002138,18,47930,0.04
CD4T,CL:0000786,15,47930,0.03
CD4T,CL:0000451,2,47930,0.0
CD4T,CL:0002327,1,47930,0.0
CD8T,CL:0000909,23671,44924,52.69
CD8T,CL:0000913,6984,44924,15.55
CD8T,CL:0000895,4153,44924,9.24
CD8T,CL:0000917,3814,44924,8.49
CD8T,CL:0000492,1982,44924,4.41
CD8T,unknown,1366,44924,3.04
CD8T,CL:0000814,606,44924,1.35
CD8T,CL:4033057,500,44924,1.11
CD8T,CL:0001065,341,44924,0.76
CD8T,CL:4033054,320,44924,0.71
CD8T,CL:0000623,295,44924,0.66
CD8T,CL:0002555,194,44924,0.43
CD8T,CL:0000704,192,44924,0.43
CD8T,CL:4033058,166,44924,0.37
CD8T,CL:0000972,61,44924,0.14
CD8T,CL:0000788,54,44924,0.12
CD8T,CL:0002324,45,44924,0.1
CD8T,CL:1000413,37,44924,0.08
CD8T,CL:0002138,35,44924,0.08
CD8T,CL:0002144,32,44924,0.07
CD8T,CL:0002543,29,44924,0.06
CD8T,CL:0000235,20,44924,0.04
CD8T,CL:0000970,18,44924,0.04
CD8T,CL:0000786,4,44924,0.01
CD8T,CL:0000451,3,44924,0.01
CD8T,CL:0002327,2,44924,0.0
Conventional dendritic cell,CL:0000235,5930,7827,75.76
Conventional dendritic cell,CL:0000451,1644,7827,21.0
Conventional dendritic cell,unknown,74,7827,0.95
Conventional dendritic cell,CL:4033057,42,7827,0.54
Conventional dendritic cell,CL:0000704,29,7827,0.37
Conventional dendritic cell,CL:0000895,17,7827,0.22
Conventional dendritic cell,CL:0002555,15,7827,0.19
Conventional dendritic cell,CL:0000972,14,7827,0.18
Conventional dendritic cell,CL:4033054,11,7827,0.14
Conventional dendritic cell,CL:4033058,8,7827,0.1
Conventional dendritic cell,CL:0000492,6,7827,0.08
Conventional dendritic cell,CL:0000970,5,7827,0.06
Conventional dendritic cell,CL:0002543,5,7827,0.06
Conventional dendritic cell,CL:0000788,4,7827,0.05
Conventional dendritic cell,CL:0000909,4,7827,0.05
Conventional dendritic cell,CL:0002324,4,7827,0.05
Conventional dendritic cell,CL:0002144,3,7827,0.04
Conventional dendritic cell,CL:1000413,3,7827,0.04
Conventional dendritic cell,CL:0000814,2,7827,0.03
Conventional dendritic cell,CL:0000917,2,7827,0.03
Conventional dendritic cell,CL:0001065,2,7827,0.03
Conventional dendritic cell,CL:0000786,1,7827,0.01
Conventional dendritic cell,CL:0000913,1,7827,0.01
Conventional dendritic cell,CL:0002327,1,7827,0.01
Conventional dendritic cell,CL:0000623,0,7827,0.0
Conventional dendritic cell,CL:0002138,0,7827,0.0
Doublet,unknown,7266,14291,50.84
Doublet,CL:0000704,1642,14291,11.49
Doublet,CL:4033058,1337,14291,9.36
