run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR15254361	SRX11559757	SAMN20423001	GSM5474105		RNA-Seq	HiSeq X Ten	ILLUMINA	213844630	20956773740	HiSeq X Ten sequencing: GSM5474105: Individual_02 Homo sapiens RNA-Seq	Individual_02
SRR15254362	SRX11559742	SAMN20423000	GSM5474106		RNA-Seq	HiSeq X Ten	ILLUMINA	378825218	37124871364	HiSeq X Ten sequencing: GSM5474106: Individual_03 Homo sapiens RNA-Seq	Individual_03
SRR15254364	SRX11559744	SAMN20422998	GSM5474108		RNA-Seq	HiSeq X Ten	ILLUMINA	140591339	13777951222	HiSeq X Ten sequencing: GSM5474108: Individual_05 Homo sapiens RNA-Seq	Individual_05
SRR15254367	SRX11559746	SAMN20422996	GSM5474110		RNA-Seq	HiSeq X Ten	ILLUMINA	154897430	15179948140	HiSeq X Ten sequencing: GSM5474110: Individual_07 Homo sapiens RNA-Seq	Individual_07
SRR15254368	SRX11559746	SAMN20422996	GSM5474110		RNA-Seq	HiSeq X Ten	ILLUMINA	152554284	14950319832	HiSeq X Ten sequencing: GSM5474110: Individual_07 Homo sapiens RNA-Seq	Individual_07
SRR15254369	SRX11559747	SAMN20422995	GSM5474111		RNA-Seq	HiSeq X Ten	ILLUMINA	136445234	13371632932	HiSeq X Ten sequencing: GSM5474111: Individual_08 Homo sapiens RNA-Seq	Individual_08
SRR15254374	SRX11559751	SAMN20422991	GSM5474115		RNA-Seq	HiSeq X Ten	ILLUMINA	395765885	37993524960	HiSeq X Ten sequencing: GSM5474115: Individual_12 Homo sapiens RNA-Seq	Individual_12
SRR15254376	SRX11559753	SAMN20423005	GSM5474117		RNA-Seq	HiSeq X Ten	ILLUMINA	57600427	5644841846	HiSeq X Ten sequencing: GSM5474117: Individual_14 Homo sapiens RNA-Seq	Individual_14
SRR15254363	SRX11559743	SAMN20422999	GSM5474107		RNA-Seq	HiSeq X Ten	ILLUMINA	355182693	34807903914	HiSeq X Ten sequencing: GSM5474107: Individual_04 Homo sapiens RNA-Seq	Individual_04
SRR15254366	SRX11559745	SAMN20422997	GSM5474109		RNA-Seq	HiSeq X Ten	ILLUMINA	225459571	22095037958	HiSeq X Ten sequencing: GSM5474109: Individual_06 Homo sapiens RNA-Seq	Individual_06
SRR15254373	SRX11559750	SAMN20422992	GSM5474114		RNA-Seq	HiSeq X Ten	ILLUMINA	248796119	24382019662	HiSeq X Ten sequencing: GSM5474114: Individual_11 Homo sapiens RNA-Seq	Individual_11
SRR15254375	SRX11559752	SAMN20422990	GSM5474116		RNA-Seq	HiSeq X Ten	ILLUMINA	329429060	32284047880	HiSeq X Ten sequencing: GSM5474116: Individual_13 Homo sapiens RNA-Seq	Individual_13
SRR15254360	SRX11559756	SAMN20423002	GSM5474104		RNA-Seq	HiSeq X Ten	ILLUMINA	248596145	24362422210	HiSeq X Ten sequencing: GSM5474104: Individual_01 Homo sapiens RNA-Seq	Individual_01
SRR15254365	SRX11559744	SAMN20422998	GSM5474108		RNA-Seq	HiSeq X Ten	ILLUMINA	137552709	13480165482	HiSeq X Ten sequencing: GSM5474108: Individual_05 Homo sapiens RNA-Seq	Individual_05
SRR15254370	SRX11559747	SAMN20422995	GSM5474111		RNA-Seq	HiSeq X Ten	ILLUMINA	134451320	13176229360	HiSeq X Ten sequencing: GSM5474111: Individual_08 Homo sapiens RNA-Seq	Individual_08
SRR15254371	SRX11559748	SAMN20422994	GSM5474112		RNA-Seq	HiSeq X Ten	ILLUMINA	371605373	36417326554	HiSeq X Ten sequencing: GSM5474112: Individual_09 Homo sapiens RNA-Seq	Individual_09
SRR15254372	SRX11559749	SAMN20422993	GSM5474113		RNA-Seq	HiSeq X Ten	ILLUMINA	475523693	45650274528	HiSeq X Ten sequencing: GSM5474113: Individual_10 Homo sapiens RNA-Seq	Individual_10
SRR15254377	SRX11559754	SAMN20423004	GSM5474118		RNA-Seq	HiSeq X Ten	ILLUMINA	81845622	8020870956	HiSeq X Ten sequencing: GSM5474118: Individual_15 Homo sapiens RNA-Seq	Individual_15
SRR15254378	SRX11559755	SAMN20423003	GSM5474119		RNA-Seq	HiSeq X Ten	ILLUMINA	425451314	40843326144	HiSeq X Ten sequencing: GSM5474119: Individual_16 Homo sapiens RNA-Seq	Individual_16
