run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR24908614	SRX20670092	SAMN35724693	GSM7475160	GSM7475160	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	192827612	17547312692	Illumina NovaSeq 6000 sequencing: GSM7475160: hbca_n16,P59,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n16,P59,replicate_1,right,nuclei
SRR24908623	SRX20670087	SAMN35724698	GSM7475155	GSM7475155	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	173459348	15437881972	Illumina NovaSeq 6000 sequencing: GSM7475155: hbca_n11,P20,replicate_1,rm,nuclei Homo sapiens RNA-Seq	hbca_n11,P20,replicate_1,rm,nuclei
SRR24908628	SRX20670085	SAMN35724699	GSM7475154	GSM7475154	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	113701144	11142712112	Illumina HiSeq 4000 sequencing: GSM7475154: hbca_n10,P19,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n10,P19,replicate_1,left and right breast,nuclei
SRR24908629	SRX20670085	SAMN35724699	GSM7475154	GSM7475154	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	76114871	7459257358	Illumina HiSeq 4000 sequencing: GSM7475154: hbca_n10,P19,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n10,P19,replicate_1,left and right breast,nuclei
SRR24908634	SRX20670084	SAMN35724700	GSM7475153	GSM7475153	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	23309947	2284374806	Illumina HiSeq 4000 sequencing: GSM7475153: hbca_n09,P18,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n09,P18,replicate_1,left and right breast,nuclei
SRR24908636	SRX20670083	SAMN35724701	GSM7475152	GSM7475152	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	58262780	5709752440	Illumina HiSeq 4000 sequencing: GSM7475152: hbca_n08,P17,replicate_1,blank,nuclei Homo sapiens RNA-Seq	hbca_n08,P17,replicate_1,blank,nuclei
SRR24908638	SRX20670083	SAMN35724701	GSM7475152	GSM7475152	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	34342876	3365601848	Illumina HiSeq 4000 sequencing: GSM7475152: hbca_n08,P17,replicate_1,blank,nuclei Homo sapiens RNA-Seq	hbca_n08,P17,replicate_1,blank,nuclei
SRR24908639	SRX20670082	SAMN35724702	GSM7475151	GSM7475151	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	14100068	1381806664	Illumina HiSeq 4000 sequencing: GSM7475151: hbca_n07,P12,replicate_1,left and right breast,nuclei Homo sapiens RNA-Seq	hbca_n07,P12,replicate_1,left and right breast,nuclei
SRR24908649	SRX20670079	SAMN35724706	GSM7475147	GSM7475147	RNA-Seq	Illumina HiSeq 4000	ILLUMINA	346926721	43712766846	Illumina HiSeq 4000 sequencing: GSM7475147: hbca_n03,P10,replicate_1,contra,nuclei Homo sapiens RNA-Seq	hbca_n03,P10,replicate_1,contra,nuclei
SRR24908654	SRX20670075	SAMN35724686	GSM7475167	GSM7475167	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	193249538	17585707958	Illumina NovaSeq 6000 sequencing: GSM7475167: hbca_n23,P41,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n23,P41,replicate_1,left,nuclei
SRR24908655	SRX20670075	SAMN35724686	GSM7475167	GSM7475167	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	191781636	17452128876	Illumina NovaSeq 6000 sequencing: GSM7475167: hbca_n23,P41,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n23,P41,replicate_1,left,nuclei
SRR24908658	SRX20670073	SAMN35724688	GSM7475165	GSM7475165	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	180756497	16448841227	Illumina NovaSeq 6000 sequencing: GSM7475165: hbca_n21,P40,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n21,P40,replicate_1,left,nuclei
SRR24908662	SRX20670071	SAMN35724690	GSM7475163	GSM7475163	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	196159403	17850505673	Illumina NovaSeq 6000 sequencing: GSM7475163: hbca_n19,P39,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n19,P39,replicate_1,left,nuclei
SRR24908663	SRX20670071	SAMN35724690	GSM7475163	GSM7475163	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	196106606	17845701146	Illumina NovaSeq 6000 sequencing: GSM7475163: hbca_n19,P39,replicate_1,left,nuclei Homo sapiens RNA-Seq	hbca_n19,P39,replicate_1,left,nuclei
SRR24908664	SRX20670070	SAMN35724691	GSM7475162	GSM7475162	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	178429015	16237040365	Illumina NovaSeq 6000 sequencing: GSM7475162: hbca_n18,P38,replicate_1,right,nuclei Homo sapiens RNA-Seq	hbca_n18,P38,replicate_1,right,nuclei
SRR24916187	SRX20677101	SAMN35724360	GSM7475121	GSM7475121	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	376273215	14298382170	Illumina NovaSeq 6000 sequencing: GSM7475121: P82, replicate_1, right, frozen tissue OCT, visium Homo sapiens RNA-Seq	P82, replicate_1, right, frozen tissue OCT, visium
SRR24916192	SRX20677099	SAMN35724362	GSM7475119	GSM7475119	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	404861379	40486137900	Illumina NovaSeq 6000 sequencing: GSM7475119: P85, replicate_1, right, frozen tissue OCT, visium Homo sapiens RNA-Seq	P85, replicate_1, right, frozen tissue OCT, visium
SRR24916203	SRX20677093	SAMN35724368	GSM7475113	GSM7475113	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	478182981	18170953278	Illumina NovaSeq 6000 sequencing: GSM7475113: P35, replicate_1, contra, frozen tissue OCT, visium Homo sapiens RNA-Seq	P35, replicate_1, contra, frozen tissue OCT, visium
SRR24975296	SRX20733006	SAMN35813562	GSM7500433	GSM7500433	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	86775356	7896557396	Illumina NovaSeq 6000 sequencing: GSM7500433: hbca_c124,P83,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c124,P83,replicate_1,right,3hr_digestion
SRR24975300	SRX20733005	SAMN35813552	GSM7500443	GSM7500443	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	107702023	9800884093	Illumina NovaSeq 6000 sequencing: GSM7500443: hbca_c134,P93,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c134,P93,replicate_1,right,2hr_digstion
SRR24975301	SRX20733005	SAMN35813552	GSM7500443	GSM7500443	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	107790865	9808968715	Illumina NovaSeq 6000 sequencing: GSM7500443: hbca_c134,P93,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c134,P93,replicate_1,right,2hr_digstion
SRR24975303	SRX20733004	SAMN35813553	GSM7500442	GSM7500442	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	70255451	6393246041	Illumina NovaSeq 6000 sequencing: GSM7500442: hbca_c133,P92,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c133,P92,replicate_1,right,2hr_digstion
SRR24975304	SRX20733004	SAMN35813553	GSM7500442	GSM7500442	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	69031101	6281830191	Illumina NovaSeq 6000 sequencing: GSM7500442: hbca_c133,P92,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c133,P92,replicate_1,right,2hr_digstion
SRR24975306	SRX20733003	SAMN35813554	GSM7500441	GSM7500441	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	53009430	4823858130	Illumina NovaSeq 6000 sequencing: GSM7500441: hbca_c132,P91,replicate_1,left,6hr_digestion Homo sapiens RNA-Seq	hbca_c132,P91,replicate_1,left,6hr_digestion
SRR24975311	SRX20733002	SAMN35813559	GSM7500436	GSM7500436	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	91488692	8325470972	Illumina NovaSeq 6000 sequencing: GSM7500436: hbca_c127,P86,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c127,P86,replicate_1,right,2hr_digstion
SRR24975312	SRX20733002	SAMN35813559	GSM7500436	GSM7500436	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	89586840	8152402440	Illumina NovaSeq 6000 sequencing: GSM7500436: hbca_c127,P86,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c127,P86,replicate_1,right,2hr_digstion
SRR24975313	SRX20733001	SAMN35813556	GSM7500439	GSM7500439	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	92863150	8450546650	Illumina NovaSeq 6000 sequencing: GSM7500439: hbca_c130,P89,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c130,P89,replicate_1,right,2hr_digstion
SRR24975315	SRX20733001	SAMN35813556	GSM7500439	GSM7500439	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	87853720	7994688520	Illumina NovaSeq 6000 sequencing: GSM7500439: hbca_c130,P89,replicate_1,right,2hr_digstion Homo sapiens RNA-Seq	hbca_c130,P89,replicate_1,right,2hr_digstion
SRR24975319	SRX20733000	SAMN35813557	GSM7500438	GSM7500438	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	85020918	7736903538	Illumina NovaSeq 6000 sequencing: GSM7500438: hbca_c129,P88,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c129,P88,replicate_1,right,3hr_digestion
SRR24975320	SRX20733000	SAMN35813557	GSM7500438	GSM7500438	RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	85616627	7791113057	Illumina NovaSeq 6000 sequencing: GSM7500438: hbca_c129,P88,replicate_1,right,3hr_digestion Homo sapiens RNA-Seq	hbca_c129,P88,replicate_1,right,3hr_digestion
