run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR18334086	SRX14470454	SAMN26681079	GSM5955951		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	333683497	41376753628	Illumina HiSeq 4000 sequencing: GSM5955951: RM264_V2_Live Homo sapiens RNA-Seq	RM264_V2_Live
SRR18334089	SRX14470456	SAMN26681081	GSM5955953		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	332878058	41276879192	Illumina HiSeq 4000 sequencing: GSM5955953: RM264_V2_Basal Homo sapiens RNA-Seq	RM264_V2_Basal
SRR18334090	SRX14470457	SAMN26681082	GSM5955954		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	328239247	40701666628	Illumina HiSeq 4000 sequencing: GSM5955954: RM272_V2_Live Homo sapiens RNA-Seq	RM272_V2_Live
SRR18334092	SRX14470458	SAMN26681083	GSM5955955		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	337334049	41829422076	Illumina HiSeq 4000 sequencing: GSM5955955: RM272_V2_Luminal Homo sapiens RNA-Seq	RM272_V2_Luminal
SRR18334095	SRX14470461	SAMN26681086	GSM5955958		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	353798722	43871041528	Illumina HiSeq 4000 sequencing: GSM5955958: RM273_V2_Luminal Homo sapiens RNA-Seq	RM273_V2_Luminal
SRR18334091	SRX14470457	SAMN26681082	GSM5955954		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	328752551	40765316324	Illumina HiSeq 4000 sequencing: GSM5955954: RM272_V2_Live Homo sapiens RNA-Seq	RM272_V2_Live
SRR18334096	SRX14470462	SAMN26681087	GSM5955959		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	335833078	41643301672	Illumina HiSeq 4000 sequencing: GSM5955959: RM273_V2_Basal Homo sapiens RNA-Seq	RM273_V2_Basal
SRR18334094	SRX14470460	SAMN26681085	GSM5955957		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	338792766	42010302984	Illumina HiSeq 4000 sequencing: GSM5955957: RM273_V2_Live Homo sapiens RNA-Seq	RM273_V2_Live
SRR18334099	SRX14470465	SAMN26681090	GSM5955962		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	317563455	39377868420	Illumina HiSeq 4000 sequencing: GSM5955962: RM282_V2_Basal Homo sapiens RNA-Seq	RM282_V2_Basal
SRR18334102	SRX14470468	SAMN26681093	GSM5955965		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	335184746	41562908504	Illumina HiSeq 4000 sequencing: GSM5955965: RM234_V2_Live Homo sapiens RNA-Seq	RM234_V2_Live
SRR18334104	SRX14470470	SAMN26681095	GSM5955967		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	329434014	40849817736	Illumina HiSeq 4000 sequencing: GSM5955967: RM249_V2_Live Homo sapiens RNA-Seq	RM249_V2_Live
SRR18334103	SRX14470469	SAMN26681094	GSM5955966		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	333160029	41311843596	Illumina HiSeq 4000 sequencing: GSM5955966: RM248_V2_Live Homo sapiens RNA-Seq	RM248_V2_Live
SRR18334106	SRX14470471	SAMN26681096	GSM5955968		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	26647793	3357621918	Illumina NovaSeq 6000 sequencing: GSM5955968: Batch3_V3_Live Homo sapiens RNA-Seq	Batch3_V3_Live
SRR18334108	SRX14470472	SAMN26681097	GSM5955969		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	26685681	3362395806	Illumina NovaSeq 6000 sequencing: GSM5955969: Batch3_V3_Epithelial Homo sapiens RNA-Seq	Batch3_V3_Epithelial
SRR18334109	SRX14470473	SAMN26681098	GSM5955970		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	0	0	Illumina NovaSeq 6000 sequencing: GSM5955970: Batch4_V3_Live Homo sapiens RNA-Seq	Batch4_V3_Live
SRR18334110	SRX14470474	SAMN26681099	GSM5955971		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	0	0	Illumina NovaSeq 6000 sequencing: GSM5955971: Batch4_V3_Epithelial Homo sapiens RNA-Seq	Batch4_V3_Epithelial
SRR18334111	SRX14470475	SAMN26681100	GSM5955972		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	2127752078	268096761828	Illumina NovaSeq 6000 sequencing: GSM5955972: KTB_V3_Live/Epithelial Homo sapiens RNA-Seq	KTB_V3_Live/Epithelial
SRR18334112	SRX14470475	SAMN26681100	GSM5955972		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	21600090	2721611340	Illumina NovaSeq 6000 sequencing: GSM5955972: KTB_V3_Live/Epithelial Homo sapiens RNA-Seq	KTB_V3_Live/Epithelial
SRR18334087	SRX14470454	SAMN26681079	GSM5955951		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	331330467	41084977908	Illumina HiSeq 4000 sequencing: GSM5955951: RM264_V2_Live Homo sapiens RNA-Seq	RM264_V2_Live
SRR18334088	SRX14470455	SAMN26681080	GSM5955952		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	343078479	42541731396	Illumina HiSeq 4000 sequencing: GSM5955952: RM264_V2_Luminal Homo sapiens RNA-Seq	RM264_V2_Luminal
SRR18334093	SRX14470459	SAMN26681084	GSM5955956		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	337758232	41882020768	Illumina HiSeq 4000 sequencing: GSM5955956: RM272_V2_Basal Homo sapiens RNA-Seq	RM272_V2_Basal
SRR18334097	SRX14470463	SAMN26681088	GSM5955960		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	314274078	38969985672	Illumina HiSeq 4000 sequencing: GSM5955960: RM282_V2_Live Homo sapiens RNA-Seq	RM282_V2_Live
SRR18334098	SRX14470464	SAMN26681089	GSM5955961		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	330627133	40997764492	Illumina HiSeq 4000 sequencing: GSM5955961: RM282_V2_Luminal Homo sapiens RNA-Seq	RM282_V2_Luminal
SRR18334100	SRX14470466	SAMN26681091	GSM5955963		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	331865524	41151324976	Illumina HiSeq 4000 sequencing: GSM5955963: RM263_V2_Live Homo sapiens RNA-Seq	RM263_V2_Live
SRR18334101	SRX14470467	SAMN26681092	GSM5955964		RNA-Seq	Illumina HiSeq 4000	ILLUMINA	346749732	42996966768	Illumina HiSeq 4000 sequencing: GSM5955964: RM222_V2_Live Homo sapiens RNA-Seq	RM222_V2_Live
SRR18334105	SRX14470471	SAMN26681096	GSM5955968		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	1665766405	209886567030	Illumina NovaSeq 6000 sequencing: GSM5955968: Batch3_V3_Live Homo sapiens RNA-Seq	Batch3_V3_Live
SRR18334107	SRX14470472	SAMN26681097	GSM5955969		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	1553893597	195790593222	Illumina NovaSeq 6000 sequencing: GSM5955969: Batch3_V3_Epithelial Homo sapiens RNA-Seq	Batch3_V3_Epithelial
