run_accession	experiment_accession	sample_accession	sample_alias	library_name	library_strategy	instrument_model	instrument_platform	read_count	base_count	experiment_title	sample_title
SRR14570783	SRX10914008	SAMN19236153	GSM5320153		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	40650295	3983728910	Illumina NovaSeq 6000 sequencing: GSM5320153: Control2 Homo sapiens RNA-Seq	Control2
SRR14570784	SRX10914009	SAMN19236152	GSM5320154		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	238028827	23326825046	Illumina NovaSeq 6000 sequencing: GSM5320154: Control3 Homo sapiens RNA-Seq	Control3
SRR14570792	SRX10914017	SAMN19236144	GSM5320162		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	263778651	25850307798	Illumina NovaSeq 6000 sequencing: GSM5320162: Control11 Homo sapiens RNA-Seq	Control11
SRR14570797	SRX10914022	SAMN19236161	GSM5320167		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	323497339	31702739222	Illumina NovaSeq 6000 sequencing: GSM5320167: BRCA5 Homo sapiens RNA-Seq	BRCA5
SRR14570799	SRX10914002	SAMN19236159	GSM5320169		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	307902099	30174405702	Illumina NovaSeq 6000 sequencing: GSM5320169: BRCA7 Homo sapiens RNA-Seq	BRCA7
SRR14570801	SRX10914004	SAMN19236157	GSM5320171		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	365812830	35849657340	Illumina NovaSeq 6000 sequencing: GSM5320171: BRCA9 Homo sapiens RNA-Seq	BRCA9
SRR14570786	SRX10914011	SAMN19236150	GSM5320156		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	287885665	28212795170	Illumina NovaSeq 6000 sequencing: GSM5320156: Control5 Homo sapiens RNA-Seq	Control5
SRR14570788	SRX10914013	SAMN19236148	GSM5320158		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	366084685	35876299130	Illumina NovaSeq 6000 sequencing: GSM5320158: Control7 Homo sapiens RNA-Seq	Control7
SRR14570789	SRX10914014	SAMN19236147	GSM5320159		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	225656191	22114306718	Illumina NovaSeq 6000 sequencing: GSM5320159: Control8 Homo sapiens RNA-Seq	Control8
SRR14570790	SRX10914015	SAMN19236146	GSM5320160		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	272356087	26690896526	Illumina NovaSeq 6000 sequencing: GSM5320160: Control9 Homo sapiens RNA-Seq	Control9
SRR14570791	SRX10914016	SAMN19236145	GSM5320161		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	303580738	29750912324	Illumina NovaSeq 6000 sequencing: GSM5320161: Control10 Homo sapiens RNA-Seq	Control10
SRR14570794	SRX10914019	SAMN19236142	GSM5320164		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	101753124	9971806152	Illumina NovaSeq 6000 sequencing: GSM5320164: BRCA2 Homo sapiens RNA-Seq	BRCA2
SRR14570795	SRX10914020	SAMN19236163	GSM5320165		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	109042659	10686180582	Illumina NovaSeq 6000 sequencing: GSM5320165: BRCA3 Homo sapiens RNA-Seq	BRCA3
SRR14570796	SRX10914021	SAMN19236162	GSM5320166		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	283045344	27738443712	Illumina NovaSeq 6000 sequencing: GSM5320166: BRCA4 Homo sapiens RNA-Seq	BRCA4
SRR14570803	SRX10914006	SAMN19236155	GSM5320173		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	260889703	25567190894	Illumina NovaSeq 6000 sequencing: GSM5320173: BRCA11 Homo sapiens RNA-Seq	BRCA11
SRR14570782	SRX10914007	SAMN19236154	GSM5320152		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	163142822	15987996556	Illumina NovaSeq 6000 sequencing: GSM5320152: Control1 Homo sapiens RNA-Seq	Control1
SRR14570785	SRX10914010	SAMN19236151	GSM5320155		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	362225114	35498061172	Illumina NovaSeq 6000 sequencing: GSM5320155: Control4 Homo sapiens RNA-Seq	Control4
SRR14570787	SRX10914012	SAMN19236149	GSM5320157		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	296154451	29023136198	Illumina NovaSeq 6000 sequencing: GSM5320157: Control6 Homo sapiens RNA-Seq	Control6
SRR14570793	SRX10914018	SAMN19236143	GSM5320163		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	187162395	18341914710	Illumina NovaSeq 6000 sequencing: GSM5320163: BRCA1 Homo sapiens RNA-Seq	BRCA1
SRR14570798	SRX10914001	SAMN19236160	GSM5320168		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	270854210	26543712580	Illumina NovaSeq 6000 sequencing: GSM5320168: BRCA6 Homo sapiens RNA-Seq	BRCA6
SRR14570800	SRX10914003	SAMN19236158	GSM5320170		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	326980801	32044118498	Illumina NovaSeq 6000 sequencing: GSM5320170: BRCA8 Homo sapiens RNA-Seq	BRCA8
SRR14570802	SRX10914005	SAMN19236156	GSM5320172		RNA-Seq	Illumina NovaSeq 6000	ILLUMINA	210684960	20647126080	Illumina NovaSeq 6000 sequencing: GSM5320172: BRCA10 Homo sapiens RNA-Seq	BRCA10
