donor_id,library_id,library_sequencing_run,library_preparation_batch
P01,"GSM7475145,GSM7500463","SRR24908651,SRR24975504",HiSeq_4000
P02,GSM7500464,SRR24975503,HiSeq_4000
P03,GSM7500465,SRR24975502,HiSeq_4000
P04,GSM7500466,SRR24975501,HiSeq_4000
P05,GSM7500467,SRR24975500,HiSeq_4000
P06,GSM7500468,SRR24975490,HiSeq_4000
P07,GSM7500469,SRR24975488,HiSeq_4000
P08,"GSM7475146,GSM7500470","SRR24908650,SRR24975499",HiSeq_4000
P09,"GSM7500471,GSM7500472","SRR24975485,SRR24975487",HiSeq_4000
P10,"GSM7475112,GSM7475147,GSM7500473","SRR24908649,SRR24916205,SRR24916206,SRR24975498","HiSeq_4000,NovaSeq_6000"
P100,GSM7500450,"SRR24975347,SRR24975348,SRR24975349,SRR24975350",NovaSeq_6000
P101,GSM7500451,"SRR24975343,SRR24975344,SRR24975345,SRR24975346",NovaSeq_6000
P102,GSM7500452,"SRR24975339,SRR24975340,SRR24975341,SRR24975342",NovaSeq_6000
P103,GSM7500453,"SRR24975612,SRR24975613,SRR24975614,SRR24975615",NovaSeq_6000
P104,GSM7500454,"SRR24975332,SRR24975626,SRR24975627,SRR24975628",NovaSeq_6000
P105,GSM7500455,"SRR24975620,SRR24975621,SRR24975622,SRR24975623",NovaSeq_6000
P106,GSM7500456,"SRR24975616,SRR24975617,SRR24975618,SRR24975619",NovaSeq_6000
P107,GSM7500457,"SRR24975592,SRR24975593,SRR24975594,SRR24975595",NovaSeq_6000
P108,GSM7500458,"SRR24975608,SRR24975609,SRR24975610,SRR24975611",NovaSeq_6000
P109,GSM7500459,"SRR24975604,SRR24975605,SRR24975606,SRR24975607",NovaSeq_6000
P11,"GSM7500474,GSM7500475","SRR24975496,SRR24975497",HiSeq_4000
P110,GSM7500460,"SRR24975600,SRR24975601,SRR24975602,SRR24975603",NovaSeq_6000
P111,GSM7500461,"SRR24975596,SRR24975597,SRR24975598,SRR24975599",NovaSeq_6000
P112,GSM7500462,"SRR24975580,SRR24975581,SRR24975582,SRR24975583",NovaSeq_6000
P113,GSM7500513,"SRR24975730,SRR24975731,SRR24975732,SRR24975733",NovaSeq_6000
P114,GSM7500518,SRR24975656,NovaSeq_6000
P115,GSM7500524,"SRR24975584,SRR24975585,SRR24975586,SRR24975587,SRR24975588,SRR24975589,SRR24975590,SRR24975591",NovaSeq_6000
P116,GSM7500522,"SRR24975667,SRR24975668,SRR24975669,SRR24975670,SRR24975671,SRR24975672,SRR24975673,SRR24975674",NovaSeq_6000
P117,GSM7500515,"SRR24975713,SRR24975714,SRR24975715,SRR24975716",NovaSeq_6000
P118,GSM7500517,"SRR24975680,SRR24975681,SRR24975682,SRR24975683",NovaSeq_6000
P119,GSM7500523,"SRR24975577,SRR24975578,SRR24975659,SRR24975660,SRR24975662,SRR24975663,SRR24975664,SRR24975665",NovaSeq_6000
P12,"GSM7475151,GSM7500506,GSM7500507","SRR24908639,SRR24908640,SRR24908641,SRR24908642,SRR24975743,SRR24975744,SRR24975745,SRR24975779,SRR24975780,SRR24975781,SRR24975782,SRR24975784,SRR24975785,SRR24975786,SRR24975787,SRR24975792,SRR24975793,SRR24975795,SRR24975796,SRR24975797",HiSeq_4000
P120,GSM7500519,"SRR24975675,SRR24975677,SRR24975678,SRR24975679,SRR24975700,SRR24975701,SRR24975702,SRR24975703",NovaSeq_6000
P121,GSM7500525,"SRR24975570,SRR24975571,SRR24975572,SRR24975573,SRR24975574,SRR24975575,SRR24975576,SRR24975666",NovaSeq_6000
P122,GSM7500516,"SRR24975708,SRR24975709,SRR24975711,SRR24975712",NovaSeq_6000
P123,GSM7500520,"SRR24975657,SRR24975684,SRR24975687,SRR24975688,SRR24975689,SRR24975690,SRR24975691,SRR24975692,SRR24975693,SRR24975694,SRR24975695,SRR24975696,SRR24975697,SRR24975698,SRR24975699,SRR24975710",NovaSeq_6000
P124,GSM7500512,"SRR24975734,SRR24975735,SRR24975736,SRR24975737",NovaSeq_6000
P125,GSM7500514,"SRR24975676,SRR24975717,SRR24975718,SRR24975719,SRR24975720,SRR24975721,SRR24975722,SRR24975723,SRR24975724,SRR24975725,SRR24975726,SRR24975727,SRR24975729,SRR24975742,SRR24975750,SRR24975751",NovaSeq_6000
P126,GSM7500521,"SRR24975658,SRR24975661,SRR24975685,SRR24975686,SRR24975704,SRR24975705,SRR24975706,SRR24975707",NovaSeq_6000
P127,GSM7475118,"SRR24916193,SRR24916194",NovaSeq_6000
P13,"GSM7500502,GSM7500503","SRR24975289,SRR24975452,SRR24975773,SRR24975774,SRR24975775,SRR24975776,SRR24975777,SRR24975778,SRR24975817,SRR24975818,SRR24975819,SRR24975820,SRR24975821,SRR24975822,SRR24975823,SRR24975824",HiSeq_4000
P133,GSM7475149,"SRR24908625,SRR24908626",NovaSeq_6000
P134,GSM7475150,"SRR24908643,SRR24908644,SRR24908645,SRR24908646",HiSeq_4000
P135,GSM7475156,"SRR24908621,SRR24908622",NovaSeq_6000
P14,GSM7500501,"SRR24975291,SRR24975806,SRR24975807,SRR24975808",HiSeq_4000
P15,GSM7500511,"SRR24975728,SRR24975738,SRR24975739,SRR24975741",HiSeq_4000
P16,GSM7500505,"SRR24975798,SRR24975799,SRR24975800,SRR24975801,SRR24975802,SRR24975803,SRR24975804,SRR24975805",HiSeq_4000
P17,"GSM7475152,GSM7500504","SRR24908635,SRR24908636,SRR24908637,SRR24908638,SRR24975772,SRR24975788,SRR24975789,SRR24975791,SRR24975809,SRR24975810,SRR24975811,SRR24975812,SRR24975813,SRR24975814,SRR24975815,SRR24975816",HiSeq_4000
P18,"GSM7475153,GSM7500508,GSM7500509","SRR24908631,SRR24908632,SRR24908633,SRR24908634,SRR24975740,SRR24975746,SRR24975747,SRR24975748,SRR24975755,SRR24975756,SRR24975757,SRR24975758,SRR24975759,SRR24975760,SRR24975761,SRR24975762,SRR24975763,SRR24975764,SRR24975765,SRR24975766,SRR24975767,SRR24975768,SRR24975769,SRR24975770,SRR24975771,SRR24975783,SRR24975790,SRR24975794",HiSeq_4000
P19,"GSM7475154,GSM7500510","SRR24908627,SRR24908628,SRR24908629,SRR24908630,SRR24975749,SRR24975752,SRR24975753,SRR24975754",HiSeq_4000
P20,"GSM7475155,GSM7500484,GSM7500485","SRR24908623,SRR24908624,SRR24975473,SRR24975474,SRR24975475,SRR24975476",NovaSeq_6000
P21,GSM7500489,"SRR24975466,SRR24975467",NovaSeq_6000
P22,"GSM7475157,GSM7500490","SRR24908619,SRR24908620,SRR24975464,SRR24975465",NovaSeq_6000
P23,"GSM7475158,GSM7500491,GSM7500492","SRR24908617,SRR24908618,SRR24975460,SRR24975461,SRR24975462,SRR24975463",NovaSeq_6000
P24,"GSM7475159,GSM7500493,GSM7500494","SRR24908615,SRR24908616,SRR24975290,SRR24975455,SRR24975456,SRR24975459",NovaSeq_6000
P25,GSM7500482,"SRR24975479,SRR24975480",NovaSeq_6000
P26,GSM7500476,"SRR24975494,SRR24975495",NovaSeq_6000
P27,GSM7500477,"SRR24975492,SRR24975493",NovaSeq_6000
P28,GSM7500478,"SRR24975489,SRR24975491",NovaSeq_6000
P29,GSM7500479,"SRR24975472,SRR24975486",NovaSeq_6000
P30,GSM7500480,"SRR24975483,SRR24975484",NovaSeq_6000
P31,GSM7500481,"SRR24975481,SRR24975482",NovaSeq_6000
P32,GSM7500486,"SRR24975457,SRR24975458",NovaSeq_6000
P33,GSM7500487,"SRR24975470,SRR24975471",NovaSeq_6000
P34,GSM7500488,"SRR24975468,SRR24975469",NovaSeq_6000
P35,"GSM7475113,GSM7500495","SRR24916203,SRR24916204,SRR24975453,SRR24975454",NovaSeq_6000
P36,GSM7500496,"SRR24975448,SRR24975449",NovaSeq_6000
P37,"GSM7475148,GSM7500483","SRR24908647,SRR24908648,SRR24975477,SRR24975478",NovaSeq_6000
P38,"GSM7475161,GSM7475162,GSM7500391,GSM7500392","SRR24908664,SRR24908665,SRR24908666,SRR24908667,SRR24975442,SRR24975443,SRR24975445,SRR24975536",NovaSeq_6000
P39,"GSM7475163,GSM7475164,GSM7500393,GSM7500394","SRR24908660,SRR24908661,SRR24908662,SRR24908663,SRR24975438,SRR24975439,SRR24975440,SRR24975441",NovaSeq_6000
P40,"GSM7475165,GSM7475166,GSM7500395,GSM7500396","SRR24908656,SRR24908657,SRR24908658,SRR24908659,SRR24975418,SRR24975419,SRR24975436,SRR24975437",NovaSeq_6000
P41,"GSM7475167,GSM7475168,GSM7500399,GSM7500400","SRR24908652,SRR24908653,SRR24908654,SRR24908655,SRR24975429,SRR24975430,SRR24975431,SRR24975432",NovaSeq_6000
P42,GSM7500497,"SRR24975450,SRR24975451",NovaSeq_6000
P43,"GSM7500498,GSM7500499,GSM7500500","SRR24975292,SRR24975293,SRR24975294,SRR24975444,SRR24975446,SRR24975447",NovaSeq_6000
P44,"GSM7500359,GSM7500360","SRR24975641,SRR24975642,SRR24975643,SRR24975645",NovaSeq_6000
P45,GSM7500361,"SRR24975644,SRR24975647",NovaSeq_6000
P46,"GSM7475114,GSM7500362,GSM7500363","SRR24916201,SRR24916202,SRR24975646,SRR24975648,SRR24975649,SRR24975651",NovaSeq_6000
P47,"GSM7475115,GSM7500364,GSM7500365","SRR24916199,SRR24916200,SRR24975650,SRR24975652,SRR24975653,SRR24975655,SRR24988772",NovaSeq_6000
P48,"GSM7500366,GSM7500367","SRR24975415,SRR24975639,SRR24975640,SRR24975654",NovaSeq_6000
P49,"GSM7500368,GSM7500369,GSM7500370","SRR24975633,SRR24975634,SRR24975635,SRR24975636,SRR24975637,SRR24975638",NovaSeq_6000
P50,"GSM7500371,GSM7500372,GSM7500373,GSM7500374","SRR24975568,SRR24975569,SRR24975624,SRR24975625,SRR24975629,SRR24975630,SRR24975631,SRR24975632",NovaSeq_6000
P51,"GSM7500375,GSM7500376,GSM7500377,GSM7500378","SRR24975555,SRR24975562,SRR24975563,SRR24975564,SRR24975565,SRR24975566,SRR24975567,SRR24975579",NovaSeq_6000
P52,"GSM7500379,GSM7500380","SRR24975558,SRR24975559,SRR24975560,SRR24975561",NovaSeq_6000
P53,"GSM7500381,GSM7500382","SRR24975540,SRR24975541,SRR24975556,SRR24975557",NovaSeq_6000
P54,"GSM7500383,GSM7500384","SRR24975551,SRR24975552,SRR24975553,SRR24975554",NovaSeq_6000
P55,"GSM7500385,GSM7500386","SRR24975547,SRR24975548,SRR24975549,SRR24975550",NovaSeq_6000
P56,"GSM7500387,GSM7500388","SRR24975543,SRR24975544,SRR24975545,SRR24975546",NovaSeq_6000
P57,"GSM7500389,GSM7500390","SRR24975435,SRR24975538,SRR24975539,SRR24975542",NovaSeq_6000
P58,"GSM7500397,GSM7500398","SRR24975420,SRR24975421,SRR24975433,SRR24975434",NovaSeq_6000
P59,"GSM7475160,GSM7500401,GSM7500402,GSM7500403","SRR24908613,SRR24908614,SRR24975423,SRR24975424,SRR24975425,SRR24975426,SRR24975427,SRR24975428",NovaSeq_6000
P60,"GSM7500404,GSM7500405","SRR24975416,SRR24975417,SRR24975422,SRR24975529",NovaSeq_6000
P61,"GSM7500406,GSM7500407","SRR24975411,SRR24975413,SRR24975414,SRR24975537",NovaSeq_6000
P62,"GSM7500408,GSM7500409","SRR24975532,SRR24975533,SRR24975534,SRR24975535",NovaSeq_6000
P63,"GSM7500410,GSM7500411","SRR24975514,SRR24975515,SRR24975530,SRR24975531",NovaSeq_6000
P64,"GSM7500412,GSM7500413","SRR24975525,SRR24975526,SRR24975527,SRR24975528",NovaSeq_6000
P65,"GSM7475116,GSM7500414,GSM7500415","SRR24916197,SRR24916198,SRR24975521,SRR24975522,SRR24975523,SRR24975524",NovaSeq_6000
P66,GSM7500416,"SRR24975519,SRR24975520",NovaSeq_6000
P67,"GSM7475117,GSM7500417","SRR24916195,SRR24916196,SRR24975517,SRR24975518",NovaSeq_6000
P68,GSM7500418,"SRR24975512,SRR24975513",NovaSeq_6000
P69,GSM7500419,"SRR24975403,SRR24975516",NovaSeq_6000
P70,GSM7500420,"SRR24975510,SRR24975511",NovaSeq_6000
P71,GSM7500421,"SRR24975508,SRR24975509",NovaSeq_6000
P72,GSM7500422,"SRR24975506,SRR24975507",NovaSeq_6000
P73,GSM7500423,"SRR24975412,SRR24975505",NovaSeq_6000
P74,GSM7500424,"SRR24975333,SRR24975334",NovaSeq_6000
P75,GSM7500425,"SRR24975407,SRR24975408,SRR24975409,SRR24975410",NovaSeq_6000
P76,GSM7500426,"SRR24975382,SRR24975404,SRR24975405,SRR24975406",NovaSeq_6000
P77,GSM7500427,"SRR24975399,SRR24975400,SRR24975401,SRR24975402",NovaSeq_6000
P78,GSM7500428,"SRR24975393,SRR24975394,SRR24975395,SRR24975396",NovaSeq_6000
