donor_id,library_id,library_sequencing_run,library_preparation_batch
Ctrl_ Pt1,GSM5320152,SRR14570782,unknown
Ctrl_ Pt2,GSM5320153,SRR14570783,unknown
Ctrl_ Pt3,GSM5320154,SRR14570784,unknown
Ctrl_ Pt4,GSM5320155,SRR14570785,unknown
Ctrl_ Pt5,GSM5320156,SRR14570786,unknown
Ctrl_ Pt6,GSM5320157,SRR14570787,unknown
Ctrl_ Pt7,GSM5320158,SRR14570788,unknown
Ctrl_ Pt8,GSM5320159,SRR14570789,unknown
Ctrl_ Pt9,GSM5320160,SRR14570790,unknown
Ctrl_Pt10,GSM5320161,SRR14570791,unknown
Ctrl_Pt11,GSM5320162,SRR14570792,unknown
BRCA1_ Pt1,GSM5320163,SRR14570793,unknown
BRCA1_ Pt2,GSM5320164,SRR14570794,unknown
BRCA1_ Pt3,GSM5320165,SRR14570795,unknown
BRCA1_ Pt4,GSM5320166,SRR14570796,unknown
BRCA1_ Pt5,GSM5320167,SRR14570797,unknown
BRCA1_ Pt6,GSM5320168,SRR14570798,unknown
BRCA1_ Pt7,GSM5320169,SRR14570799,unknown
BRCA1_ Pt8,GSM5320170,SRR14570800,unknown
BRCA1_ Pt9,GSM5320171,SRR14570801,unknown
BRCA1_ Pt1,GSM5320173,SRR14570803,unknown
