donor_id,library_id,library_sequencing_run,library_preparation_batch
B1_0023,unknown,unknown,unknown
B1_0033,unknown,unknown,unknown
B1_0090,unknown,unknown,unknown
B1_0894,unknown,unknown,unknown
N_0019,unknown,unknown,unknown
N_0021,unknown,unknown,unknown
N_0064,unknown,unknown,unknown
N_0092,unknown,unknown,unknown
N_0093,unknown,unknown,unknown
N_0123,unknown,unknown,unknown
N_0169,unknown,unknown,unknown
N_0230.16,unknown,unknown,unknown
N_0230.17,unknown,unknown,unknown
N_0233,unknown,unknown,unknown
N_0275,unknown,unknown,unknown
N_0280,unknown,unknown,unknown
N_0288,unknown,unknown,unknown
N_0342,unknown,unknown,unknown
N_0372,unknown,unknown,unknown
N_0408,unknown,unknown,unknown
N_1105,unknown,unknown,unknown
N_1469,unknown,unknown,unknown
