donor_id,library_id,library_sequencing_run,library_preparation_batch
HMC1,E-MTAB-9841:LMC1,ERR4903929,B1
HMC2,"E-MTAB-10855:LMC2B,E-MTAB-9841:LMC2","ERR4903930,ERR6497051,ERR6497052","B1,B2"
HMC3,E-MTAB-9841:LMC3,ERR4903931,B1
HMC4,E-MTAB-9841:LMC4,ERR4903932,B1
HMC5,E-MTAB-10855:LMC5,"ERR6497053,ERR6497054",B2
HMC6,E-MTAB-10855:LMC6,"ERR6497055,ERR6497056",B2
HMC7,E-MTAB-10855:LMC7,"ERR6497057,ERR6497058",B2
HMC8,E-MTAB-10855:LMC8,"ERR6497059,ERR6497060",B2
HMC9,E-MTAB-10885:LMC9,ERR6548285,B3
RB1,"E-MTAB-10885:NMC1B_L1,E-MTAB-10885:NMC1B_L2,E-MTAB-10885:NMC1B_L3,E-MTAB-9841:NMC1","ERR4903933,ERR6548286,ERR6548287,ERR6548288","B1,B3"
RB2,E-MTAB-9841:NMC2,ERR4903934,B1
RB3,E-MTAB-9841:NMC3,ERR4903935,B1
RB4,E-MTAB-9841:NMC4,ERR4903936,B1
RB5,E-MTAB-10855:NMC5,"ERR6497061,ERR6497062",B2
RB6,E-MTAB-10855:NMC6,"ERR6497063,ERR6497064",B2
RB7,E-MTAB-10855:NMC7,"ERR6497065,ERR6497066",B2
